Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
n7DfRvB9,PORTUGAL - LIGA PORTUGAL,2023-12-16,17:30,RODADA 14,Boavista,Vitória SC,10.0,5.0,4.0,3.5,1.91,1.98,1.88,1.8,1.95,2.2,1.8,1.83,2.17,2.0,0.16,1.33,1.02,100.0,50.0,0.0,33.33,16.67,83.33,83.33,100.0,1.2,1.4,1.2,1.4,1.2,0.08,1.8,0.91,80.0,40.0,20.0,60.0,60.0,60.0,40.0,100.0,1.75,1.47,3.22
n9CejaHF,ÁUSTRIA - BUNDESLIGA,2024-02-17,13:00,RODADA 19,A. Lustenau,A. Klagenfurt,12.0,5.0,,,,,,,,0.8,2.8,0.62,3.0,2.12,0.19,0.0,,100.0,37.5,0.0,0.0,12.5,75.0,37.5,100.0,2.0,0.6,1.71,1.29,1.86,0.15,2.0,0.65,85.71,28.57,14.29,57.14,42.86,71.43,42.86,85.71,0.69,2.37,3.06
0hAqg1Xd,ÁUSTRIA - BUNDESLIGA,2024-02-17,13:00,RODADA 19,Austria Vienna,Altach,8.0,10.0,,,,,,,,1.0,0.0,1.0,0.29,0.71,0.21,1.57,0.62,28.57,28.57,71.43,28.57,14.29,28.57,14.29,42.86,1.2,1.6,0.75,1.62,1.12,0.14,0.75,1.38,62.5,50.0,37.5,12.5,12.5,37.5,37.5,87.5,1.26,0.0,1.26
8IDiiu29,ÁUSTRIA - BUNDESLIGA,2024-02-17,13:00,RODADA 19,BW Linz,Red Bull Salzburg,9.0,1.0,,,,,,,,1.0,1.2,1.25,1.5,1.25,0.23,1.25,0.93,87.5,50.0,12.5,25.0,37.5,37.5,50.0,87.5,2.2,0.8,2.0,0.75,1.5,0.29,2.25,0.46,87.5,25.0,12.5,62.5,62.5,50.0,50.0,87.5,0.89,1.62,2.51
SKThkJWL,ÁUSTRIA - BUNDESLIGA,2024-02-17,13:00,RODADA 19,Hartberg,LASK,4.0,3.0,,,,,,,,1.2,1.8,1.5,1.38,1.62,0.16,2.0,0.71,75.0,37.5,25.0,62.5,25.0,62.5,37.5,87.5,1.6,1.4,1.38,1.25,1.38,0.22,1.5,0.87,87.5,25.0,12.5,37.5,25.0,37.5,50.0,87.5,1.3,1.7,3.0
CUvKSARG,AUSTRÁLIA - A-LEAGUE,2023-12-17,03:00,RODADA 8,Melbourne City,Central Coast Mariners,7.0,9.0,1.91,4.0,3.5,1.5,2.5,1.44,2.63,2.5,1.5,,,3.5,,2.0,0.71,50.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0,,,,,,,,,,,,,,,,,,,
Qs0zGEfs,PORTUGAL - LIGA PORTUGAL 2,2023-12-17,08:00,RODADA 14,Vilaverdense,Leixoes,18.0,15.0,2.75,3.2,2.63,2.15,1.67,1.83,1.83,1.0,2.0,1.0,2.0,1.4,0.1,0.6,2.24,100.0,40.0,0.0,20.0,20.0,80.0,80.0,100.0,1.0,1.6,0.83,1.33,1.17,0.39,1.33,1.02,50.0,33.33,50.0,33.33,16.67,50.0,33.33,66.67,1.26,1.41,2.67
McHObF1U,PAÍSES BAIXOS - EREDIVISIE,2023-12-17,08:15,RODADA 16,Almere City,Vitesse,16.0,17.0,2.3,3.5,3.0,1.75,2.05,1.62,2.2,0.8,3.0,0.83,2.83,2.83,0.28,0.67,1.82,66.67,16.67,33.33,16.67,16.67,83.33,50.0,100.0,0.6,3.2,1.0,2.86,2.29,0.18,0.86,1.71,100.0,57.14,0.0,28.57,0.0,85.71,57.14,100.0,1.6,1.34,2.94
nTtNK6ua,ITÁLIA - SERIE A,2023-12-17,08:30,RODADA 16,AC Milan,Monza,3.0,9.0,1.6,4.2,5.0,1.75,2.05,1.8,1.95,1.2,0.6,1.5,0.67,1.0,0.44,2.0,0.77,66.67,16.67,33.33,66.67,66.67,33.33,33.33,100.0,1.0,1.0,0.83,1.33,1.17,0.24,1.17,1.26,66.67,33.33,33.33,33.33,16.67,33.33,33.33,100.0,1.1,0.77,1.87
vi9vvMOe,FRANÇA - LIGUE 1,2023-12-17,09:00,RODADA 16,Nantes,Brest,9.0,5.0,2.63,3.2,2.8,2.15,1.67,1.91,1.91,2.2,1.8,1.86,1.43,1.86,0.34,1.57,0.89,85.71,42.86,14.29,42.86,57.14,42.86,57.14,100.0,1.0,1.0,0.71,1.0,1.0,0.28,1.43,1.06,71.43,0.0,28.57,42.86,14.29,28.57,28.57,85.71,1.48,1.34,2.82
jVY40Zff,PORTUGAL - LIGA PORTUGAL 2,2023-12-17,09:00,RODADA 14,Santa Clara,FC Porto B,1.0,5.0,2.15,3.3,3.3,2.03,1.83,1.73,2.0,1.6,0.2,1.67,0.33,1.0,0.17,2.67,0.31,83.33,16.67,16.67,83.33,50.0,33.33,33.33,83.33,2.0,1.6,2.0,1.6,2.6,0.24,1.4,1.08,60.0,20.0,40.0,40.0,0.0,80.0,100.0,100.0,1.6,0.63,2.23
nRyBbJ7C,INGLATERRA - CHAMPIONSHIP,2023-12-17,09:00,RODADA 22,West Bromwich,Stoke,5.0,19.0,1.75,3.8,4.5,2.1,1.7,2.0,1.73,1.4,0.4,1.44,0.78,1.56,0.22,1.89,0.72,55.56,11.11,44.44,55.56,33.33,44.44,44.44,77.78,1.2,1.6,0.78,1.56,1.0,0.14,0.56,1.82,88.89,44.44,11.11,11.11,11.11,33.33,33.33,88.89,1.5,0.69,2.19
8OQRqzg3,ALEMANHA - 2. BUNDESLIGA,2023-12-17,09:30,RODADA 17,Braunschweig,Kaiserslautern,17.0,15.0,2.88,3.4,2.5,1.88,1.98,1.62,2.2,1.6,2.2,1.29,1.86,1.43,0.14,1.14,1.18,85.71,57.14,14.29,28.57,14.29,57.14,71.43,100.0,1.2,2.8,1.33,2.67,1.83,0.11,0.33,1.55,100.0,66.67,0.0,0.0,33.33,83.33,83.33,100.0,2.12,1.62,3.74
pjuXNhWq,ALEMANHA - 2. BUNDESLIGA,2023-12-17,09:30,RODADA 17,Karlsruher,Elversberg,14.0,9.0,2.15,3.8,3.1,1.57,2.35,1.5,2.5,2.4,0.8,2.0,1.29,1.71,0.15,1.71,0.73,100.0,42.86,0.0,42.86,57.14,71.43,57.14,100.0,1.8,1.4,1.57,1.71,1.57,0.17,1.57,0.89,85.71,42.86,14.29,42.86,42.86,57.14,71.43,100.0,1.83,1.2,3.03
0I30TE8M,ALEMANHA - 2. BUNDESLIGA,2023-12-17,09:30,RODADA 17,St. Pauli,Wehen,1.0,11.0,1.33,5.25,9.0,1.57,2.35,1.83,1.83,2.6,0.6,2.14,0.71,1.57,0.25,1.86,0.58,57.14,57.14,42.86,42.86,28.57,57.14,57.14,57.14,1.0,1.2,1.43,1.43,1.71,0.11,1.29,1.25,71.43,28.57,28.57,42.86,42.86,57.14,57.14,100.0,1.77,0.77,2.54
IL2jloN5,BÉLGICA - LIGA JUPILER,2023-12-17,09:30,RODADA 18,Club Brugge,Gent,6.0,3.0,1.67,4.0,4.75,1.67,2.15,1.67,2.1,2.8,1.0,2.43,0.86,1.86,0.22,2.14,0.5,71.43,28.57,28.57,57.14,42.86,42.86,71.43,85.71,1.6,1.0,1.57,1.14,1.43,0.19,1.71,0.73,71.43,57.14,28.57,42.86,14.29,42.86,71.43,100.0,1.67,1.26,2.93
dY8NMlAU,ALEMANHA - 3. LIGA,2023-12-17,09:30,RODADA 19,Duisburg,Dresden,19.0,2.0,4.5,3.6,1.7,1.93,1.93,1.8,1.91,0.8,2.0,0.88,1.5,1.5,0.21,0.88,1.55,50.0,25.0,50.0,25.0,12.5,50.0,50.0,100.0,2.2,0.8,1.5,1.0,1.25,0.21,1.62,0.93,62.5,25.0,37.5,50.0,25.0,37.5,37.5,87.5,0.8,2.1,2.9
0UZuSSz7,ESPANHA - LALIGA,2023-12-17,10:00,RODADA 17,Almería,Mallorca,20.0,15.0,2.7,3.2,2.7,2.2,1.65,1.91,1.91,0.8,2.0,1.29,2.29,2.14,0.26,0.43,1.25,71.43,57.14,28.57,0.0,14.29,71.43,71.43,85.71,1.2,2.0,1.0,1.86,1.57,0.13,0.57,1.98,57.14,28.57,42.86,14.29,0.0,28.57,42.86,100.0,1.26,1.55,2.81
lnd3R2de,ESPANHA - LALIGA2,2023-12-17,10:00,RODADA 20,Alcorcón,Eibar,22.0,5.0,4.0,3.4,2.0,2.2,1.65,1.83,1.83,0.6,1.4,0.62,1.5,1.38,0.16,0.62,1.7,62.5,12.5,37.5,12.5,12.5,25.0,37.5,87.5,1.2,2.0,1.44,1.67,1.67,0.07,1.44,1.04,77.78,55.56,22.22,44.44,22.22,77.78,66.67,100.0,1.1,1.3,2.4
zgVnqapq,GRÉCIA - SUPERLIGA,2023-12-17,10:00,RODADA 14,Aris,OFI Crete,5.0,8.0,1.62,4.0,5.5,2.0,1.85,2.0,1.75,2.0,1.0,1.83,1.0,1.67,0.08,2.17,0.61,83.33,33.33,16.67,66.67,50.0,50.0,50.0,100.0,0.6,2.2,0.6,2.2,1.6,0.18,0.4,1.37,80.0,40.0,20.0,0.0,20.0,80.0,40.0,80.0,2.1,0.77,2.87
nLrVJbXu,PAÍSES BAIXOS - EREDIVISIE,2023-12-17,10:30,RODADA 16,Heracles,Feyenoord,14.0,2.0,11.0,7.0,1.22,1.33,3.4,1.8,1.95,1.2,2.4,1.33,2.17,2.5,0.11,1.5,1.1,66.67,33.33,33.33,50.0,0.0,83.33,66.67,100.0,2.8,1.0,3.17,1.0,2.17,0.14,2.67,0.31,100.0,66.67,0.0,83.33,50.0,83.33,66.67,100.0,1.1,2.59,3.69
benZIInn,PAÍSES BAIXOS - EREDIVISIE,2023-12-17,10:30,RODADA 16,Sparta Rotterdam,Twente,7.0,4.0,4.33,3.6,1.83,1.85,2.0,1.75,2.0,1.0,2.0,1.0,1.83,2.0,0.18,0.83,1.4,66.67,16.67,33.33,16.67,33.33,66.67,66.67,100.0,2.6,1.0,2.5,0.83,2.0,0.21,2.33,0.44,83.33,50.0,16.67,66.67,66.67,66.67,66.67,100.0,1.0,2.28,3.28
Eup2yYAC,INGLATERRA - PREMIER LEAGUE,2023-12-17,11:00,RODADA 17,Arsenal,Brighton,2.0,8.0,1.44,5.0,6.0,1.57,2.35,1.75,2.0,2.0,1.2,2.14,1.14,1.86,0.09,2.43,0.4,85.71,57.14,14.29,71.43,42.86,85.71,85.71,100.0,2.4,1.4,2.33,1.67,2.17,0.19,1.67,0.9,100.0,50.0,0.0,50.0,50.0,83.33,100.0,100.0,1.67,1.7,3.37
82q6zhQI,INGLATERRA - PREMIER LEAGUE,2023-12-17,11:00,RODADA 17,Brentford,Aston Villa,11.0,3.0,3.0,3.75,2.2,1.75,2.05,1.62,2.2,1.8,1.6,2.0,1.57,1.86,0.25,1.57,0.89,71.43,57.14,28.57,42.86,14.29,85.71,71.43,100.0,1.0,1.8,1.0,2.0,1.57,0.11,1.14,1.18,71.43,57.14,28.57,28.57,0.0,57.14,57.14,100.0,1.8,1.26,3.06
WdrzNgDG,INGLATERRA - PREMIER LEAGUE,2023-12-17,11:00,RODADA 17,West Ham,Wolverhampton,9.0,13.0,2.1,3.6,3.4,1.87,2.03,1.7,2.05,1.8,1.8,1.67,1.67,2.17,0.1,1.33,1.02,83.33,33.33,16.67,33.33,50.0,66.67,83.33,100.0,1.0,1.0,1.14,1.43,2.14,0.15,1.0,1.41,28.57,14.29,71.43,28.57,0.0,57.14,71.43,100.0,1.34,1.34,2.68
ngUao4WL,FRANÇA - LIGUE 1,2023-12-17,11:00,RODADA 16,Lorient,Strasbourg,17.0,10.0,2.55,3.2,2.88,2.15,1.67,1.91,1.91,1.8,2.2,1.29,2.0,1.29,0.13,0.86,1.25,71.43,57.14,28.57,14.29,28.57,71.43,71.43,85.71,0.4,1.8,0.5,1.83,1.0,0.0,0.67,1.82,83.33,50.0,16.67,16.67,0.0,50.0,33.33,100.0,1.8,0.94,2.74
pldQ1PG2,FRANÇA - LIGUE 1,2023-12-17,11:00,RODADA 16,Metz,Montpellier,12.0,14.0,3.2,3.3,2.3,2.08,1.73,1.8,1.95,1.0,1.2,1.17,1.33,1.33,0.15,0.83,1.4,66.67,33.33,33.33,16.67,16.67,50.0,50.0,100.0,1.2,1.8,1.5,1.5,1.67,0.1,1.17,1.26,100.0,33.33,0.0,33.33,50.0,66.67,33.33,100.0,1.34,1.2,2.54
jRzimQ19,FRANÇA - LIGUE 1,2023-12-17,11:00,RODADA 16,Toulouse,Rennes,15.0,13.0,3.2,3.5,2.2,1.9,2.0,1.7,2.05,1.6,1.2,1.6,1.2,1.8,0.21,1.2,0.91,40.0,40.0,60.0,20.0,40.0,60.0,80.0,100.0,0.4,1.4,0.4,1.4,0.6,0.21,0.4,1.37,80.0,20.0,20.0,0.0,0.0,20.0,40.0,80.0,1.5,0.69,2.19
fV1rSlmP,ITÁLIA - SERIE A,2023-12-17,11:00,RODADA 16,Fiorentina,Verona,7.0,19.0,1.4,5.0,7.0,1.73,2.08,2.0,1.75,1.6,1.2,1.83,1.0,1.0,0.17,2.0,0.77,100.0,66.67,0.0,66.67,50.0,66.67,33.33,100.0,1.0,1.4,0.86,1.43,1.29,0.2,0.71,1.56,71.43,14.29,28.57,14.29,0.0,42.86,42.86,85.71,1.5,1.1,2.6
WWARH4PH,ITÁLIA - SERIE A,2023-12-17,11:00,RODADA 16,Udinese,Sassuolo,17.0,15.0,2.25,3.5,3.1,1.7,2.1,1.57,2.25,1.0,1.6,1.17,1.67,1.17,0.32,0.83,0.49,66.67,50.0,33.33,0.0,33.33,50.0,66.67,83.33,1.6,2.6,1.5,2.33,1.83,0.24,0.67,1.82,100.0,50.0,0.0,16.67,50.0,66.67,83.33,100.0,1.61,1.6,3.21
bexDbDP6,PORTUGAL - LIGA PORTUGAL 2,2023-12-17,11:00,RODADA 14,Feirense,Maritimo,13.0,4.0,3.5,3.4,2.05,2.1,1.7,1.83,1.83,1.4,0.8,1.4,0.8,1.2,0.16,2.4,0.56,60.0,20.0,40.0,80.0,40.0,20.0,20.0,100.0,2.0,1.2,1.83,1.33,1.33,0.15,2.0,0.77,83.33,50.0,16.67,66.67,33.33,66.67,66.67,100.0,1.3,1.26,2.56
nPvrhXhi,ALEMANHA - BUNDESLIGA,2023-12-17,11:30,RODADA 15,Freiburg,Köln,8.0,16.0,1.85,3.7,4.2,1.92,1.98,1.8,1.95,2.0,1.8,2.0,1.8,1.2,0.24,1.6,0.84,100.0,80.0,0.0,40.0,60.0,60.0,80.0,100.0,0.6,1.6,0.67,1.33,1.0,0.0,0.83,1.4,66.67,33.33,33.33,16.67,16.67,33.33,50.0,100.0,1.79,1.04,2.83
0phem5xC,BÉLGICA - LIGA JUPILER,2023-12-17,12:00,RODADA 18,Royale Union SG,KV Mechelen,1.0,10.0,1.33,5.0,9.0,1.6,2.3,1.95,1.8,2.8,1.0,2.62,1.12,1.38,0.27,2.38,0.5,100.0,75.0,0.0,75.0,75.0,87.5,75.0,100.0,1.2,1.8,1.14,1.86,1.71,0.12,1.0,1.41,85.71,42.86,14.29,28.57,14.29,57.14,42.86,100.0,2.24,1.1,3.34
6ZMy0LWN,ITÁLIA - SERIE B,2023-12-17,12:15,RODADA 17,Lecco,Ternana,17.0,18.0,2.55,3.2,2.88,2.05,1.8,1.75,2.0,0.8,1.2,1.17,1.67,1.83,0.36,1.17,1.26,66.67,16.67,33.33,33.33,16.67,33.33,33.33,83.33,1.2,2.0,1.5,1.83,2.0,0.07,0.83,1.4,66.67,50.0,33.33,16.67,0.0,83.33,83.33,100.0,1.26,1.2,2.46
67d7rlLm,ESPANHA - LALIGA,2023-12-17,12:15,RODADA 17,Real Sociedad,Bétis,6.0,7.0,1.7,4.0,5.0,2.07,1.83,2.0,1.75,1.8,1.2,2.0,1.43,2.0,0.23,2.0,0.65,71.43,42.86,28.57,57.14,57.14,42.86,71.43,100.0,1.2,2.4,1.0,1.86,1.14,0.48,1.0,1.0,71.43,57.14,28.57,14.29,14.29,42.86,71.43,85.71,2.08,1.2,3.28
lKZVSFXa,ESPANHA - LALIGA2,2023-12-17,12:15,RODADA 20,Levante,Huesca,11.0,19.0,2.1,3.1,4.0,2.5,1.5,2.1,1.67,1.8,2.4,1.62,1.88,1.75,0.13,1.5,0.87,62.5,62.5,37.5,37.5,37.5,62.5,87.5,100.0,1.2,0.8,0.88,0.75,0.75,0.13,1.38,1.02,62.5,25.0,37.5,37.5,37.5,0.0,25.0,100.0,1.2,1.7,2.9
IX8jSKe3,PORTUGAL - LIGA PORTUGAL,2023-12-17,12:30,RODADA 14,Chaves,Casa Pia,,,2.7,3.1,2.63,2.25,1.62,1.91,1.91,1.8,2.2,1.8,2.2,2.4,0.11,1.2,1.37,80.0,60.0,20.0,40.0,0.0,80.0,80.0,100.0,1.2,1.6,1.0,1.67,1.83,0.11,1.17,1.26,66.67,16.67,33.33,33.33,33.33,50.0,33.33,100.0,1.7,1.62,3.32
6eQS8Wfr,PORTUGAL - LIGA PORTUGAL,2023-12-17,12:30,RODADA 14,Moreirense,Portimonense,6.0,11.0,1.7,3.6,5.0,1.93,1.93,1.8,1.95,1.0,1.2,1.0,1.2,1.2,0.17,1.0,1.22,40.0,40.0,60.0,20.0,20.0,40.0,60.0,80.0,0.8,2.8,0.67,2.5,2.17,0.25,0.67,1.82,83.33,16.67,16.67,16.67,33.33,50.0,50.0,100.0,1.67,0.98,2.65
hfVLdifJ,PORTUGAL - LIGA PORTUGAL 2,2023-12-17,12:30,RODADA 14,Benfica B,Tondela,14.0,7.0,2.38,3.4,2.88,1.98,1.88,1.73,2.0,1.6,1.8,1.5,1.5,1.5,0.18,1.67,0.9,66.67,33.33,33.33,50.0,16.67,50.0,66.67,100.0,1.6,1.8,1.6,1.8,1.6,0.16,1.6,0.84,100.0,40.0,0.0,40.0,20.0,60.0,80.0,100.0,1.7,1.7,3.4
pAPkUEBt,ALEMANHA - 3. LIGA,2023-12-17,12:30,RODADA 19,Bielefeld,Munich 1860,13.0,15.0,2.15,3.4,3.0,1.73,2.08,1.62,2.2,2.4,0.8,2.12,1.12,1.5,0.1,1.62,0.73,100.0,62.5,0.0,37.5,37.5,62.5,62.5,100.0,1.4,1.2,1.25,1.5,1.5,0.08,1.25,1.19,75.0,25.0,25.0,37.5,37.5,62.5,37.5,100.0,1.7,1.06,2.76
EqUjrJak,GRÉCIA - SUPERLIGA,2023-12-17,12:30,RODADA 14,Asteras T.,PAOK,6.0,3.0,6.0,4.2,1.57,2.1,1.7,2.1,1.67,1.2,2.2,1.17,1.83,1.33,0.15,1.17,1.26,66.67,50.0,33.33,33.33,16.67,66.67,33.33,100.0,2.25,1.5,,,2.25,0.37,1.75,0.86,75.0,50.0,25.0,50.0,50.0,75.0,75.0,100.0,1.34,2.22,3.56
hIowIx2h,PAÍSES BAIXOS - EREDIVISIE,2023-12-17,12:45,RODADA 16,Ajax,Zwolle,5.0,11.0,1.25,6.5,9.0,1.33,3.4,1.7,2.05,3.2,1.0,3.0,0.83,2.17,0.06,2.5,0.49,83.33,66.67,16.67,83.33,50.0,83.33,66.67,100.0,2.4,2.0,2.17,2.0,3.17,0.11,1.5,1.1,66.67,33.33,33.33,50.0,16.67,100.0,66.67,100.0,2.53,1.55,4.08
UHZfnpHF,FRANÇA - LIGUE 1,2023-12-17,13:05,RODADA 16,Marseille,Clermont,6.0,18.0,1.44,4.75,6.5,1.73,2.08,1.95,1.8,1.6,0.2,1.67,0.17,0.67,0.2,2.33,0.44,66.67,50.0,33.33,66.67,50.0,50.0,16.67,66.67,0.8,2.0,1.0,2.0,1.0,0.17,0.83,1.4,83.33,66.67,16.67,16.67,16.67,66.67,50.0,83.33,1.79,0.4,2.19
QFwnii8c,ALEMANHA - BUNDESLIGA,2023-12-17,13:30,RODADA 15,Leverkusen,Frankfurt,1.0,7.0,1.33,5.5,8.0,1.5,2.63,1.8,1.95,3.0,0.8,3.33,0.83,2.5,0.08,2.67,0.31,100.0,50.0,0.0,83.33,66.67,83.33,66.67,100.0,2.0,1.0,1.83,1.17,1.5,0.18,1.5,0.82,83.33,33.33,16.67,33.33,33.33,66.67,83.33,100.0,1.73,1.26,2.99
23yKQyEi,INGLATERRA - PREMIER LEAGUE,2023-12-17,13:30,RODADA 17,Liverpool,Manchester Utd,1.0,6.0,1.3,6.0,8.0,1.33,3.4,1.62,2.2,3.0,1.0,3.0,0.83,1.83,0.07,3.0,0.0,83.33,66.67,16.67,100.0,50.0,83.33,50.0,100.0,1.0,1.2,0.83,1.17,1.17,0.07,1.5,1.1,50.0,33.33,50.0,50.0,16.67,33.33,33.33,100.0,1.9,1.0,2.9
6F8035AO,ITÁLIA - SERIE A,2023-12-17,14:00,RODADA 16,Bologna,AS Roma,5.0,4.0,2.38,3.0,3.25,2.5,1.5,2.05,1.7,1.0,0.8,1.33,0.67,1.0,0.38,2.17,0.61,66.67,33.33,33.33,66.67,33.33,50.0,33.33,83.33,1.4,1.6,1.5,1.5,1.67,0.25,1.33,1.02,66.67,50.0,33.33,33.33,16.67,66.67,83.33,83.33,1.26,1.06,2.32
pbeBs8zf,ESPANHA - LALIGA,2023-12-17,14:30,RODADA 17,Las Palmas,Cádiz,8.0,17.0,1.91,3.3,4.33,2.4,1.53,2.1,1.67,1.2,0.8,1.33,0.67,1.67,0.13,2.17,0.61,33.33,0.0,66.67,66.67,33.33,33.33,50.0,100.0,0.2,1.8,0.57,1.86,1.43,0.14,0.29,1.71,57.14,28.57,42.86,0.0,42.86,28.57,42.86,100.0,1.47,0.4,1.87
WAo8QMB1,ESPANHA - LALIGA2,2023-12-17,14:30,RODADA 20,Amorebieta,Zaragoza,21.0,12.0,3.6,3.0,2.25,2.7,1.44,2.2,1.62,1.2,0.6,0.75,0.62,0.5,0.45,1.12,1.11,62.5,25.0,37.5,25.0,25.0,12.5,25.0,75.0,0.6,1.2,1.0,1.0,1.38,0.19,1.38,1.02,37.5,12.5,62.5,37.5,37.5,25.0,37.5,100.0,1.2,0.6,1.8
Aearj7hg,BÉLGICA - LIGA JUPILER,2023-12-17,14:30,RODADA 18,Antwerp,Anderlecht,4.0,2.0,1.91,3.5,3.8,1.9,1.95,1.75,2.0,3.2,0.2,2.86,0.43,1.0,0.35,2.43,0.4,71.43,57.14,28.57,71.43,71.43,57.14,28.57,71.43,1.2,1.6,1.62,1.25,1.62,0.26,1.5,0.87,75.0,50.0,25.0,37.5,37.5,50.0,62.5,100.0,2.26,0.49,2.75
dtPl3KyF,GRÉCIA - SUPERLIGA,2023-12-17,14:30,RODADA 14,Lamia,Volos,7.0,11.0,1.91,3.6,4.0,2.1,1.7,1.95,1.8,1.8,1.6,1.8,1.6,1.4,0.24,1.6,0.84,100.0,40.0,0.0,40.0,40.0,80.0,80.0,100.0,0.6,1.6,0.6,1.6,1.2,0.11,0.6,0.91,80.0,20.0,20.0,0.0,20.0,20.0,60.0,100.0,1.7,0.98,2.68
jqSv6Uv1,PORTUGAL - LIGA PORTUGAL,2023-12-17,15:00,RODADA 14,Famalicao,Estoril,8.0,12.0,2.2,3.25,3.3,2.03,1.83,1.75,2.0,1.0,1.4,1.0,1.4,1.2,0.21,1.4,1.08,60.0,60.0,40.0,40.0,20.0,60.0,40.0,80.0,1.8,2.8,1.83,2.83,3.17,0.19,0.5,2.45,66.67,66.67,33.33,16.67,16.67,83.33,83.33,100.0,1.67,1.59,3.26
6cJ3LzXJ,PORTUGAL - LIGA PORTUGAL 2,2023-12-17,15:00,RODADA 14,Oliveirense,Mafra,11.0,8.0,3.2,3.5,2.15,1.93,1.93,1.73,2.0,1.8,1.6,1.67,1.83,2.33,0.09,1.33,1.02,66.67,33.33,33.33,33.33,33.33,83.33,83.33,83.33,0.8,1.4,1.0,1.67,1.33,0.25,0.33,1.55,66.67,33.33,33.33,0.0,0.0,50.0,66.67,83.33,1.59,1.13,2.72
vV3nkR7a,BÉLGICA - LIGA JUPILER,2023-12-17,15:15,RODADA 18,Genk,Kortrijk,5.0,16.0,1.22,6.5,10.0,1.4,2.88,1.91,1.91,1.8,0.8,1.86,1.14,1.71,0.21,1.43,0.79,71.43,42.86,28.57,28.57,42.86,57.14,57.14,85.71,0.2,2.4,0.29,2.29,1.0,0.39,0.29,1.71,85.71,42.86,14.29,0.0,0.0,42.86,28.57,100.0,2.08,0.4,2.48
8tz3UT0p,ALEMANHA - BUNDESLIGA,2023-12-17,15:30,RODADA 15,Bayern,Stuttgart,2.0,3.0,1.45,5.25,5.5,1.33,3.4,1.5,2.5,3.8,1.0,3.8,1.0,2.4,0.04,2.6,0.34,100.0,100.0,0.0,80.0,80.0,100.0,60.0,100.0,1.8,1.8,1.8,1.8,2.6,0.11,1.8,0.91,60.0,20.0,40.0,60.0,60.0,80.0,60.0,100.0,2.62,1.34,3.96
rV4JNUfO,ALEMANHA - 3. LIGA,2023-12-17,15:30,RODADA 19,Viktoria Koln,Freiburg II,14.0,20.0,1.67,3.75,4.5,1.7,2.1,1.73,2.0,1.6,1.6,1.38,1.5,1.88,0.17,1.5,0.87,50.0,37.5,50.0,37.5,12.5,50.0,62.5,87.5,1.0,1.6,1.0,1.62,0.75,0.35,0.75,1.85,100.0,37.5,0.0,25.0,25.0,37.5,37.5,100.0,1.6,1.26,2.86
8KrfswFe,GRÉCIA - SUPERLIGA,2023-12-17,15:30,RODADA 14,Atromitos,Panathinaikos,10.0,1.0,8.0,4.2,1.45,2.0,1.85,2.1,1.67,0.75,0.75,,,1.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,25.0,0.0,75.0,75.0,2.2,0.6,2.0,0.5,1.33,0.14,2.5,0.49,66.67,33.33,33.33,83.33,50.0,50.0,16.67,100.0,0.67,1.28,1.95
W8psHdHb,PAÍSES BAIXOS - EREDIVISIE,2023-12-17,16:00,RODADA 16,Alkmaar,PSV,3.0,1.0,4.33,3.75,1.8,1.73,2.08,1.67,2.1,2.8,0.4,3.14,0.43,2.29,0.24,2.71,0.28,100.0,28.57,0.0,85.71,100.0,71.43,42.86,100.0,3.8,0.4,3.83,0.33,3.17,0.07,3.0,0.0,66.67,33.33,33.33,100.0,50.0,100.0,33.33,100.0,1.06,1.23,2.29
rPFVurfq,FRANÇA - LIGUE 1,2023-12-17,16:45,RODADA 16,Lille,PSG,4.0,1.0,3.8,4.0,1.83,1.67,2.15,1.62,2.2,1.4,0.6,1.33,0.5,0.67,0.49,2.17,0.61,83.33,33.33,16.67,66.67,66.67,16.67,33.33,100.0,2.4,0.8,2.67,0.83,1.67,0.16,2.67,0.31,83.33,50.0,16.67,83.33,83.33,66.67,66.67,100.0,1.06,1.2,2.26
