Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
xMRDzV9N,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2023-12-16,12:00,RODADA 22,Derby,Wycombe,6.0,15.0,1.45,4.5,6.5,1.83,2.03,2.0,1.75,1.2,0.4,1.38,0.75,1.5,0.15,1.75,0.79,62.5,0.0,37.5,50.0,37.5,50.0,50.0,87.5,1.4,2.2,1.62,1.75,2.0,0.17,1.38,1.02,87.5,25.0,12.5,37.5,50.0,87.5,75.0,100.0,1.62,0.75,2.37
KpHIZlPT,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2023-12-16,12:00,RODADA 22,Fleetwood,Peterborough,21.0,4.0,4.5,4.2,1.67,1.53,2.4,1.62,2.2,0.0,2.0,0.88,2.12,1.25,0.49,0.5,2.14,100.0,50.0,0.0,12.5,25.0,62.5,25.0,100.0,1.8,1.0,1.44,1.22,1.67,0.16,1.56,0.92,66.67,22.22,33.33,44.44,33.33,44.44,66.67,100.0,0.0,1.9,1.9
d68pV8Xp,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2023-12-16,12:00,RODADA 22,Lincoln,Reading,9.0,23.0,2.1,3.3,3.5,2.08,1.73,1.91,1.91,2.2,0.8,1.88,0.75,1.5,0.12,1.88,0.66,75.0,37.5,25.0,50.0,37.5,50.0,50.0,100.0,1.0,2.6,0.88,2.38,1.62,0.14,0.38,2.83,62.5,62.5,37.5,12.5,25.0,75.0,62.5,100.0,2.39,0.89,3.28
A9dSghAo,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2023-12-16,12:00,RODADA 22,Oxford Utd,Burton,5.0,19.0,1.62,3.75,5.75,2.03,1.83,1.95,1.8,1.8,0.8,1.88,0.88,2.0,0.15,2.12,0.59,75.0,0.0,25.0,62.5,75.0,75.0,62.5,100.0,0.8,2.0,0.67,1.78,1.33,0.1,0.78,1.67,66.67,44.44,33.33,22.22,11.11,44.44,33.33,88.89,1.9,0.8,2.7
l0eWhCPi,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2023-12-16,12:00,RODADA 22,Port Vale,Wigan,17.0,14.0,2.3,3.25,3.25,2.05,1.75,1.8,1.95,0.8,1.4,0.86,1.0,1.14,0.22,1.29,1.25,42.86,28.57,57.14,42.86,0.0,28.57,28.57,100.0,1.8,1.2,1.44,1.33,1.22,0.33,1.22,1.14,100.0,33.33,0.0,33.33,55.56,55.56,66.67,100.0,0.98,1.59,2.57
2oGuoml8,ESCÓCIA - PREMIERSHIP,2023-12-16,12:00,RODADA 18,Celtic,Hearts,1.0,6.0,1.2,7.0,12.0,1.4,2.88,1.8,1.95,3.4,0.6,3.29,0.86,2.57,0.11,2.71,0.28,71.43,71.43,28.57,85.71,57.14,85.71,71.43,100.0,0.8,1.4,1.0,1.0,1.29,0.15,1.29,1.25,71.43,0.0,28.57,42.86,57.14,42.86,42.86,100.0,2.18,0.69,2.87
zaEmqRIK,ESCÓCIA - PREMIERSHIP,2023-12-16,12:00,RODADA 18,Livingston,Kilmarnock,12.0,5.0,3.25,3.25,2.3,2.35,1.57,2.05,1.7,0.4,1.2,0.5,1.17,1.17,0.14,0.83,1.4,50.0,0.0,50.0,16.67,0.0,16.67,16.67,83.33,0.6,1.2,0.71,1.14,0.86,0.22,0.86,1.25,57.14,42.86,42.86,14.29,0.0,42.86,42.86,71.43,0.69,0.85,1.54
nZHiroYQ,ESCÓCIA - PREMIERSHIP,2023-12-16,12:00,RODADA 18,Ross County,Dundee FC,8.0,7.0,2.25,3.3,3.2,2.1,1.7,1.91,1.91,0.8,0.6,1.0,0.86,1.0,0.21,1.57,0.89,57.14,28.57,42.86,42.86,28.57,28.57,14.29,85.71,1.4,2.2,1.5,2.17,2.0,0.28,0.83,1.4,66.67,50.0,33.33,16.67,33.33,83.33,66.67,100.0,1.33,0.92,2.25
IeeYjFGb,ESCÓCIA - PREMIERSHIP,2023-12-16,12:00,RODADA 21,St. Johnstone,Hibernian,11.0,4.0,3.3,3.3,2.25,2.15,1.67,1.91,1.91,0.8,1.2,1.12,1.5,1.75,0.1,1.38,1.02,62.5,25.0,37.5,37.5,37.5,50.0,50.0,100.0,1.2,2.0,1.38,2.0,2.38,0.09,1.12,1.11,75.0,25.0,25.0,25.0,37.5,75.0,62.5,100.0,1.26,1.2,2.46
W6gOxPel,ESCÓCIA - PREMIERSHIP,2023-12-16,12:00,RODADA 18,St. Mirren,Motherwell,3.0,10.0,1.95,3.4,4.0,2.3,1.6,2.05,1.7,1.6,0.6,1.43,1.14,1.57,0.31,2.0,0.65,85.71,14.29,14.29,57.14,42.86,57.14,42.86,100.0,0.6,1.8,0.57,1.43,1.0,0.27,0.71,1.56,71.43,28.57,28.57,14.29,28.57,28.57,28.57,100.0,1.7,0.6,2.3
